遞ｮ逶ｮ,No.,名前,年,年代区分,名前,エントリータイム,性別,距離,種目,,,,
50m FreestyleWomen,5,CAS S I NARI  Ma r i a  G r a z i a,1963,60-64,A CQUA 1V ILLA GE,46. 50,Women,50m,Freestyle,,,,
50m FreestyleWomen,6,BE RNKL AU S a n d r a  S u s a n,1964,60-64,DOLP HINS,46. 44,Women,50m,Freestyle,,,,
50m FreestyleWomen,7,OKUI  Ma r i,1965,60-64,FLUNM E R,46. 41,Women,50m,Freestyle,,,,
50m FreestyleWomen,8,KO RBAN Ma r t i n e,1965,60-64,DOGW OODM A S T E RS S W IM CLUB,46. 15,Women,50m,Freestyle,,,,
50m FreestyleWomen,9,ABE  Mi k a k o,1965,60-64,S A P P OROM S T,46. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,10,LI  We i we i,1961,60-64,S W ORDFIS HCLUB,46. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,11,NAKANO  Ch i z u k o,1961,60-64,K ONA M IIB A RA K I,45. 87,Women,50m,Freestyle,,,,
50m FreestyleWomen,12,SANCHEZ LEAL Ge ma  I s a be l,1964,60-64,C.T E NE RIFE M A S T E RS,45. 68,Women,50m,Freestyle,,,,
50m FreestyleWomen,13,NG  Wa i  L i n  An g i e,1964,60-64,S W ORDFIS HCLUB,45. 46,Women,50m,Freestyle,,,,
50m FreestyleWomen,14,KAJ I T ANI  E t s u k o,1964,60-64,IT OM A NNIS HINOM IYA,45. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,15,NI U Z i l i,1964,60-64,S HA NGHA IS W IM S T A RS C,45. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,16,KANE KO  Ma s u mi,1963,60-64,DA S HM A E B A S HI,44. 91,Women,50m,Freestyle,,,,
50m FreestyleWomen,17,LE A De bbi e,1961,60-64,M A IT LA NDA US S IM A S T E RS,44. 88,Women,50m,Freestyle,,,,
50m FreestyleWomen,18,FUJ I Y OS HI  Mi na mi,1964,60-64,RA RINA NT E S W A S E DA,43. 97,Women,50m,Freestyle,,,,
50m FreestyleWomen,19,YANAGAWA Ma r i k o,1965,60-64,LE OS S,43. 90,Women,50m,Freestyle,,,,
50m FreestyleWomen,20,MU N O Z  L a u r a,1961,60-64,A CUA T ICA NE LS ONV A RGA S,43. 44,Women,50m,Freestyle,,,,
50m FreestyleWomen,21,RI CHARDS  An n,1963,60-64,W IS CONS INM A S T E RS A QUA T ICCLUB,43. 41,Women,50m,Freestyle,,,,
50m FreestyleWomen,22,MU N A K A T A  S a t o m i,1964,60-64,LINE FUK US HIM A,43. 17,Women,50m,Freestyle,,,,
50m FreestyleWomen,23,THANOS  S hona r a  Ha z s i l a,1964,60-64,M ILLE NNIUM A QUA T ICJ A K A RT A,43. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,24,BO E S E L - WE BL E R Ma r i o n,1962,60-64,S GE S S E N,42. 86,Women,50m,Freestyle,,,,
50m FreestyleWomen,25,LE E  Ta e k s ook,1963,60-64,T E A M UHS OO,42. 36,Women,50m,Freestyle,,,,
50m FreestyleWomen,26,WA T E R S  L i b b y,1961,60-64,LA K E M A CQUA RIE CROCS M A S T E RS,42. 23,Women,50m,Freestyle,,,,
50m FreestyleWomen,27,KRAL L  Ka r e n,1962,60-64,COA S T S W IM T E A M,42. 14,Women,50m,Freestyle,,,,
50m FreestyleWomen,28,DO S S O W Bi r g i t,1963,60-64,HS V M E DIZINM A GDE B URG,42. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,29,IMAMURA Takako,1963,60-64,FUK UOK A S C,41. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,30,IMAMURA Moeko,1962,60-64,S HONA NS HOE IK A I,40. 82,Women,50m,Freestyle,,,,
50m FreestyleWomen,31,ANDO  E t s u k o,1963,60-64,B IGS A M I,40. 44,Women,50m,Freestyle,,,,
50m FreestyleWomen,32,NI S BE T  T r i x i e,1964,60-64,LE W E S S C,40. 39,Women,50m,Freestyle,,,,
50m FreestyleWomen,33,AO  Wa i l a n,1962,60-64,S W ORDFIS HCLUB,40. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,34,ZAMORA Ros a,1963,60-64,A CUA T ICA NE LS ONV A RGA S,39. 89,Women,50m,Freestyle,,,,
50m FreestyleWomen,35,HUL L  T r a c e y  J a n e,1965,60-64,LIS B URNCIT YS W IM M INGCLUB,39. 85,Women,50m,Freestyle,,,,
50m FreestyleWomen,36,PENADES BALLESTER Ma r i a,1961,60-64,C.N.M E DIT E RRA NE OV A LE NCIA,39. 83,Women,50m,Freestyle,,,,
50m FreestyleWomen,37,POLLAKOVA Ve r oni k a,1962,60-64,P S K ZILINA,39. 66,Women,50m,Freestyle,,,,
50m FreestyleWomen,38,YOSHI DA J unk o,1963,60-64,FCT OK YODOM E,39. 21,Women,50m,Freestyle,,,,
50m FreestyleWomen,39,HART AWAN G a d i z a  V o l a r e,1964,60-64,M ILLE NNIUM A QUA T ICJ A K A RT A,38. 89,Women,50m,Freestyle,,,,
50m FreestyleWomen,40,LI NDA La ur a,1961,60-64,G-UDINE,38. 69,Women,50m,Freestyle,,,,
50m FreestyleWomen,41,MA R T I N  L a u r a,1962,60-64,NA T A CIONA RGE NT INA M A S T E R,38. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,42,KAHUMBU S u,1964,60-64,HOS P IT A LHILLA LUM NIS C,37. 79,Women,50m,Freestyle,,,,
50m FreestyleWomen,43,HUMAI R CO RT I NO V I S  S a b i n e,1963,60-64,CNLA CHA UX-DE -FONDS,37. 66,Women,50m,Freestyle,,,,
50m FreestyleWomen,44,CHI L DS  Al i c e,1965,60-64,HILLINGDONS W IM M INGCLUB,37. 56,Women,50m,Freestyle,,,,
50m FreestyleWomen,45,SUGI URA Sa c hi k o,1963,60-64,NA K A S UGIS T .B ROS,37. 35,Women,50m,Freestyle,,,,
