遞ｮ逶ｮ,No.,名前,年,年代区分,名前,エントリータイム,性別,距離,種目,,,,
400m FreestyleWomen,18,MR U Z K O V A  P a v l i n a,1970,55-59,V S K UNIV E RZIT A B RNO,06:25.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,19,BUCHT A Ka t r i n,1970,55-59,S CDHFK LE IP ZIG,06:23.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,20,NE WMAN J o d i e,1970,55-59,M IA M IM A S T E RS S W IM M INGCLUB,06:21.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,21,MU R R A Y  C l a i r e,1969,55-59,DUNDE E CIT YA QUA T ICS S C,06:14.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,22,MU R R A Y  K y l e e,1966,55-59,M E RRYLA NDS M A S T E RS S C,06:13.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,23,BL AMI RE S  Me g a n,1969,55-59,B LA CK T OW NCIT YM A S T E RS S W .,06:09.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,24,RI P P E RG E R L i s a  Ka r e n,1969,55-59,A LW A S LCLUB,06:04.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,25,HE RNANDE Z  G O ME Z  Cl a u d i a,1969,55-59,A QUA ROLOS,05:59.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,26,MA I D ME N T  S u z a n n e,1966,55-59,S P E NCE RS W IM T E A M,05:55.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,27,GOL DS CHMI DT  Cl a u d i a,1967,55-59,S A RA S OT A S HA RK S M A S T E RS,05:52.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,28,DI NG  Q i o n g,1969,55-59,CHA M P IONS W IM M E RCLUB,05:50.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,29,AS HAUE R Ka t h a r i n a,1970,55-59,S GW UP P E RT A L,05:45.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,30,MA K I N  C a r o l i n e,1968,55-59,T UGGE RA NONGM A S T E RS S W .A CT,05:45.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,31,PI I  Anne - Sof i e,1970,55-59,S V OM M E K LUB B E NFRE M ODE NS E,05:42.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,32,SHAW El i z a be t h,1966,55-59,OT T E RS C,05:42.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,33,BE AV E R S h a r o n,1967,55-59,A DE LA IDE M A S T E RS,05:40.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,34,MA C K I N N O N  A i l e e n  Ma r y,1966,55-59,B E LGRA V IA M A S T E RS S W IM T E A M,05:37.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,35,SNELL Ca r ol,1966,55-59,C.N.M E DIT E RRA NE OV A LE NCIA,05:36.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,36,HE NDE RS O N An n e  Ma r y,1968,55-59,HOB A RT A QUA T ICM A S T E RS,05:27.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,37,SPURLI NG Da ni e l l e,1967,55-59,M A LV E RNM A RLINS,05:22.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,38,GOMARI Z  Mo n t s e,1970,55-59,C.N.M A NRE S A,05:22.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,39,ESCATLLAR FDEZ DE MI SA C,1966,55-59,C.T E NE RIFE M A S T E RS,05:22.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,40,HE G E DUS  Ag n e s,1967,55-59,T OROK B A LINT IS E NIORUS ZOCLUB,05:21.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,41,CHAP DE L AI NE  J o s e e,1967,55-59,CNM ONT RE A L-NORD,05:15.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,42,GROOT  Bi a n c a,1970,55-59,M S V -ZE E M A CHT,05:12.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,43,HRY T S I UK O l e n a,1970,55-59,UK RA INE S W IM,05:12.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,44,CS I KANY  Cs i l l a,1968,55-59,T OROK B A LINT IS E NIORUS ZOCLUB,05:06.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,45,ZI E GLE R I na,1966,55-59,B E RLINE RT S C,05:06.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,46,O DONNE L L  L i s a  An n,1968,55-59,M A NLYM A S T E RS S W IM M INGCLUB,05:00.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,47,THI E LE MANN Cl a udi a,1968,55-59,S GB A YE R,04:59.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,KUBI CKO V A Bl a n k a,1973,50-54,T J S LOV A NK A RLOV YV A RY,07:10.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,HUMM T i n a,1975,50-54,W A S S E RS P ORT V E RE INS CHE RM B E CK,07:09.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,AV E NDANO  NAT I V I DAD E l i z a,1974,50-54,CT LA S T E RRA ZA S M IRA FLORE S,07:05.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,KE DG L E Y  Na t a s h a,1974,50-54,S T A DIUM M A S T E RS S C,06:57.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,KO NI J N Na t h a s j a,1971,50-54,GZCDONK,06:48.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,BABAY I  L u d mi l a,1971,50-54,M A CCA B IS HOHA M,06:47.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,AUCO I N Na t a l i e,1972,50-54,CA RLE T ONUNIV E RS IT YM A S T E RS,06:45.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,FRI TZ Br i t t a,1971,50-54,S CJ A NUS K OLN,06:44.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,VAN LI NDT Ka t hy,1971,50-54,CNS P ORT CIT YW OLUW E,06:39.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,SERVENTI  Ev i e,1972,50-54,T S A M A S T E RS,06:25.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,BANDL O W- AL BRE CHT  S a n d r a,1971,50-54,T S V LINDA U,06:00.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,LAS UP  Li na,1971,50-54,M ILLE NNIUM A QUA T ICJ A K A RT A,05:58.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,13,STELI AROU Emi l i a,1972,50-54,OE A NA B OLOY,05:48.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,14,ZAMMI T Tr a c e y,1971,50-54,M IA M IM A S T E RS S W IM M INGCLUB,05:41.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,15,RAT Z  Ba r b a r a,1975,50-54,HA M B URGE RS CR.V .V ON1879,05:34.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,16,MA T H E R - B R O WN  R e b e c c a,1973,50-54,DA RW INS T INGE RS M A S T E RS S C,05:18.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,17,FUE NTE S  Ze de x,1974,50-54,LIGA DE P ORT IV A E S T UDIA NT IL,05:16.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,18,LORTON Ol i v i a,1974,50-54,LUXE M B OURGS HA RK S S C,05:13.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,19,VAN DER WEL I ngr i d,1974,50-54,ROCK INGHA M M A S T E RS,05:12.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,20,PESCATORI  Ros s e l l a,1971,50-54,CIRCOLOCA NOT T IE RIA NIE NE,05:12.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,21,DUQ UE  CO RRE A Di a n a,1972,50-54,P A RA GUA YM A S T E RS,05:08.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,22,MC L E A N  J a n e t  F r a n c e s,1973,50-54,CA RNE GIE S C,05:05.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,23,THE UNI S E N Ma r i e k a,1974,50-54,T S A M A S T E RS,05:04.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,24,NI L S S O N Ma l i n,1973,50-54,S W IM M INGLUXE M B OURG,05:01.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,QI N Ho n g me i,1980,45-49,S HA NGHA IS W IM S T A RS C,06:36.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,LI N Tz u- Y i n,1976,45-49,T M S W IM M INGCLUB,06:35.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,KUO  Me i - L i n,1976,45-49,HA IYE NA QUA T ICS M A S T E RCLUB,06:32.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,YOSHI I KE Na na,1978,45-49,CFCFUT A M A T A GA W A,06:32.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,T Fl o,1976,45-49,K A LLA NGA LIV E S P ORT M A NA GE M E NT,06:30.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,SAI LER Da ni e l l e  Ca r ol e,1977,45-49,S W IM M INGCLUB E RA,06:30.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,BI G E A L u i s i a n a,1977,45-49,S A S S E NHE IM,06:30.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,JAEGER Anna,1978,45-49,K A LLA NGA LIV E S P ORT M A NA GE M E NT,06:29.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,BRY ANT  J e n n i e,1980,45-49,GYM P IE GOLDFINS M A S T E RS,06:23.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,MI L E N K E V I C H  S u s a n n e,1980,45-49,COT T ONT RE E M A S T E RS S C,06:18.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,BAL O G H An n a,1979,45-49,P K 11T HA P RIL,06:12.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,BUCHAN S a r a h  Ra c h a e l,1976,45-49,CIT YOFNORW ICHS C,06:12.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,13,RE Y E S  S i l v i a,1979,45-49,A QUA T ICCLUB A NDS W IM,06:12.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,14,NAM E u n k y u n g,1979,45-49,S W IM P LIM,06:10.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,15,KO RE L S KI  Ma r i o n,1976,45-49,1.P A DE RB ORNE RS V 1911,06:09.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,16,SCHWEDAT Ank e,1978,45-49,CLA RE M ONT M A S T E RS,06:08.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,17,BHAL  S n e h a l,1978,45-49,M A HA RA S HT RA UNIT,06:05.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,18,DRAP E R Re b e c c a,1978,45-49,NORT HE RNM A S T E RS S W IM M INGCLUB,06:01.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,19,BE CKWI T H Mi c h e l l e,1978,45-49,S OUT HDOW NS T ROJ A NS C,05:58.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,20,BRI T T O N Be k k y,1980,45-49,M S A S P ORT S S E RV ICE S LLC,05:57.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,21,FURLAN Ma r t i na,1979,45-49,LUXE M B OURGS HA RK S S C,05:48.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,22,BAY L E Y  Ab i,1977,45-49,GIP P S LA NDFLIP P E RS M A S T E RS S W .,05:48.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,23,BL ANQ UE T  Ma r y l i n e,1978,45-49,A V E NIRM URE T NA T A T ION,05:47.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,24,MA R T I N E Z  L U C C A N I  F a b i o l a,1977,45-49,CA RA CA S RA CQUE T CLUB S T,05:47.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,25,BO WRO N S h a n n o n,1980,45-49,ROCK INGHA M M A S T E RS,05:44.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,26,MI N A R O V A  J a n a,1976,45-49,P LA V E CK YK LUB NOV YJ ICIN,05:44.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,27,DI CKI NS O N Amy,1978,45-49,LE ICHHA RDT M A S T E RS S C,05:43.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,28,VENEMA J e s s i c a,1979,45-49,OLDDUT CH,05:42.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,29,VERHOEFF Cha nt a l  Na t ha l i,1979,45-49,OLDDUT CH,05:34.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,30,CRUS CO  Ky s a,1976,45-49,NE W E NGLA NDM A S T E RS S W IM CLUB,05:31.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,31,FARROW J o,1979,45-49,YORK CIT YB A T HS CLUB,05:30.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,32,BO RY S HKE V Y CH Na t a l i i a,1976,45-49,UK RA INE S W IM,05:29.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,33,CHAN Y u k  Ma n  P h o e b e,1979,45-49,S W ORDFIS HCLUB,05:15.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,34,STEWART Pi a,1980,45-49,COE LA CA NT HM S C,05:13.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,35,HI G UCHI  Hi t o mi,1979,45-49,NA NIW A M E RM A ID,05:09.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,36,SERVOU I oa nna,1980,45-49,NA YT IK OS S YLLOGOS P A LA IM ON,05:09.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,37,LUGANO V a l e nt i na,1980,45-49,DE RT HONA NUOT O,05:06.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,38,DE  CARV AL HO  L i s a n d r a,1978,45-49,P OW E RP OINT S,04:59.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,39,VON REKOWSKI  Anne t t,1976,45-49,S V GE RA,04:55.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,40,GRI L L O An g e l a,1978,45-49,CIRCOLOCA NOT T IE RIA NIE NE,04:55.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,41,CI D DE L  P RADO  S ANT ANA Ro,1979,45-49,S W IM S QUA D,04:50.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,42,AL F O NS I  S a r a,1980,45-49,CIRCOLOCA NOT T IE RIA NIE NE,04:47.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,43,WI L L S  E m m a,1979,45-49,YORK CIT YB A T HS CLUB,04:42.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,EVENSON Na t a s ha,1985,40-44,E DM ONT ONM A S T E RS S W IM CLUB,06:11.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,BO AL  F E RNANDE Z  L a u r a,1983,40-44,C.D.T ORRE LA GOW E LLNE S S,06:10.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,MC K E N D R I C K  A i l i e,1981,40-44,S A P P HIRE COA S T A DULT S C,06:03.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,HADDAD S u z i e,1985,40-44,CA M P B E LLT OW NA US S IM A S T E RS S C,06:02.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,BE L E AU Ci n d y,1982,40-44,M E RLIONM A S T E RS A QUA T ICS,06:00.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,WI L L I A M S  M e l i n d a,1981,40-44,NE W E NGLA NDM A S T E RS S W IM CLUB,06:00.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,MA K ME E  C h u t i s a,1983,40-44,CHULA B HORNA QUA T ICCLUB,05:55.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,MA Y A  H a y d e e,1984,40-44,A QUA T ICCLUB A NDS W IM,05:55.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,FLE S S E RT Amy,1984,40-44,NORT ' LA NDE RS S W IM CLUB,05:54.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,LI  J i a,1982,40-44,S HA NGHA IS W IM S T A RS C,05:50.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,JUAREZ MORENO Cl audi a,1982,40-44,A QUA T ICCLUB A NDS W IM,05:49.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,PRETORI US Na di ne,1983,40-44,COA S T S W IM T E A M,05:44.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,13,ZHANG Mi a o,1985,40-44,LUCK YS P LA S HS W IM M INGCLUB,05:30.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,14,HO L T Z  P h i l l i p a  J o a n,1984,40-44,T S A M A S T E RS,05:25.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,15,RO E  L y n d s a y,1984,40-44,K E T T E RINGA M A T E URS C,05:20.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,16,UCHI Y AMA Umi k a,1985,40-44,S HA NGHA IS W IM M INGT E A M,05:16.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,17,SCENDRATE Va l e nt i na,1983,40-44,NA T A T IOM A S T E RT E A M,05:09.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,18,KART S HE V S KAY A O k s a n a,1984,40-44,NA B,05:06.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,19,SNYMAN Da ne l l e,1985,40-44,ROYA LS W IM M INGA CA DE M Y,05:04.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,20,SPEET Me l a ni e,1984,40-44,K A LLA NGA LIV E S P ORT M A NA GE M E NT,05:02.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,21,BE CKMANN Ca r l a,1984,40-44,W FR.B IE LE FE LD1922,05:01.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,22,NI CHO L S O N Ka t e,1982,40-44,S S FB ONN05,05:01.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,23,FRE E S  He a t he r  Ma r i e,1983,40-44,LONE S T A RM A S T E RS,04:59.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,24,AL AUX  F l o r e n c e,1981,40-44,CNCA LE DONIE NS,04:57.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,25,KI RK S t a c i a,1981,40-44,GYM P IE GOLDFINS M A S T E RS,04:55.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,26,DUMO NT  E mi l i e,1985,40-44,A M S LFRE J US,04:54.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,27,HE RMI DA Bl a n c a,1981,40-44,C.N.FE RROL,04:48.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,28,MU R P H Y  T r a c e y,1985,40-44,GIP P S LA NDFLIP P E RS M A S T E RS S W .,04:48.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,29,SHELNUTT Ve s na,1985,40-44,GE ORGIA M A S T E RS,04:45.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,30,FUJ I NO Ma i k o,1983,40-44,T A K US HOK UUNIV E RS IT YS T A FF,04:28.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,VENUS Ms,1990,35-39,DE LHIS W IM M INGA S S OCIA T ION,06:03.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,CO NWAY  F i o n a,1990,35-39,LOUGHB OROUGHT OW NS C,05:59.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,BAE  Do r a n,1986,35-39,K A LLA NGA LIV E S P ORT M A NA GE M E NT,05:58.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,TORRE S  RODRI GUE S  Ma r c e l l,1987,35-39,C.N.M E DIT E RRA NE OV A LE NCIA,05:46.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,ONO Mi c h i k o,1989,35-39,A QA T OR,05:45.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,SUAREZ TAPPANI  J ul i e t a  S,1989,35-39,CLA RE M ONT M A S T E RS,05:41.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,ABS O N E r i n,1987,35-39,LA V E RT ONW YNDHA M A Q.M A S T E RS,05:20.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,BRO WN S t e p h a n i e  E n a,1988,35-39,GIP P S LA NDFLIP P E RS M A S T E RS S W .,05:20.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,BARO N S t e p h,1987,35-39,S OUT HDOW NS T ROJ A NS C,05:20.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,TANAKA Mi s uz u,1989,35-39,CFCM US A S HIK OS UGI,05:20.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,SANCHEZ VALENCI A Di a na,1988,35-39,A CUA T ICA NE LS ONV A RGA S,05:19.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,GARE I S  J a n a,1988,35-39,P OS T S CHW IM M V E RE INLE IP ZIG,05:18.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,13,HO L MAN Ma r y,1986,35-39,ROCK YM OUNT A INRE GIONA LM A S T E RS,05:16.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,14,PARABOSCHI  Ma r i a  Gi ul i a,1986,35-39,IDE A S P ORT,05:15.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,15,NE UL O H- S T E I N An n  Kr i s t i n,1989,35-39,GIE S S E NE RS V 1923,05:15.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,16,KI MURA Mi s a k i,1990,35-39,NA NIW A M E RM A ID,05:13.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,17,VI LJ OEN Euge ni e,1986,35-39,COE LA CA NT HM S C,05:09.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,18,BAAS  Re l i n d a,1989,35-39,T RIV IA,05:08.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,19,KHO  E l i s e,1987,35-39,T S A M A S T E RS,05:07.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,20,HO L MAN S a r a,1986,35-39,ROCK YM OUNT A INRE GIONA LM A S T E RS,04:55.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,21,MC I N T O S H  K e l l y,1989,35-39,S ILV E RCIT YB LUE S M A S T E RS S C,04:54.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,22,ZI MME RMANN S a bi ne,1986,35-39,A A CHE NE RS V 06,04:51.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,23,ME R K L E  B e t t i n a,1989,35-39,V FLS INDE LFINGE N,04:39.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,24,CAV ADI NI  Ca r o l i n e,1990,35-39,CRNB RUXE LLE S -A T A LA NT E,04:37.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,25,BAL S ANO  V e r o n i c a,1987,35-39,P A RA GUA YM A S T E RS,04:27.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,MC MI L L A N  E l i s a  C l a r e,1993,30-34,HOB A RT DOLP HINS,05:43.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,BRUG G E  J o h a n n a,1991,30-34,S CS E E V E T A L,05:34.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,AG UI L AR G a b r i e l a,1994,30-34,A QUA T ICCLUB A NDS W IM,05:34.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,KARP O V A E k a t e r i n a,1995,30-34,NA B,05:33.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,KAZ I MO V A Kr i s t i n a,1992,30-34,NA B,05:28.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,MA U R E R  J e n n i f e r,1994,30-34,T V NE LLINGE N,05:28.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,STOLTENBERG Ka t ha r i na,1993,30-34,S GW A S S E RRA T T E NNORDE RS T E DT,05:24.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,MU E L D E R  I m k e,1993,30-34,S V W FR.V OLLE N-P A P E NB URG,05:22.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,TOMAI NO Be a t r i c e,1992,30-34,M S A S P ORT S S E RV ICE S LLC,05:15.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,RO ME RO  Mi r n a,1992,30-34,NA RV A LE S,05:11.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,NAKAT ANI  T a k a n a,1991,30-34,NA NIW A M E RM A ID,05:06.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,BE V AN T e s s a,1994,30-34,LE V INM A S T E RS,05:00.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,13,HE RT E L  L a u r a,1993,30-34,S CW E S CHB ORN,05:00.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,14,GAJ DOWS KA Ag n i e s z k a,1995,30-34,W A T E RS QUA D,04:51.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,15,DAL L ADAS  L i n d a,1991,30-34,S GHT 16HA M B URG,04:45.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,16,VANET Pa ul i ne,1992,30-34,US M V IRE,04:40.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,17,AL T AMURA V e n e r e,1995,30-34,S P ORT P ROJ E CT S S DS RL,04:39.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,18,ARNO L D Al l i s o n,1992,30-34,T HE OLYM P ICCLUB,04:34.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,19,KUS HI DA Ka o r i,1993,30-34,IT OM A NM ORIGUCHI,04:31.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,20,FATUM- BOKE R Al i s a,1995,30-34,S S V LE UT ZS CH,04:26.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,PARDO ADAME Adr i a na,1999,25-29,C.N.CORNE LLA,05:38.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,EGGART As hl e y,1998,25-29,M A NA T E E A QUA T ICM A S T E RS,05:37.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,HAP P E  L u c y,1997,25-29,ROS K ILLM A S T E RS,05:37.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,ENCI NAS Rox a na,2000,25-29,NA RV A LE S,05:35.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,CUS S E N Ke a l e y,2000,25-29,T OW NS V ILLE A QUA HOLICS M A S T E RS,05:31.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,STASKOVA Pa ul i na,1997,25-29,T J DUNA J S T UROV O,05:28.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,DE NT I S  L i l i a n a,1997,25-29,T IT A NS,05:26.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,IKEDA Shiho,1997,25-29,M IP CO,05:24.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,HO L DE R Be t h,1997,25-29,NE W HA M & UNIV .E A S T LONDONS C,05:21.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,LE S LI E  Ca t he r i ne,1996,25-29,S ILV E RCIT YB LUE S M A S T E RS S C,05:19.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,KAWAMAT A Ak a r i,1997,25-29,S W IM T E A M S HIO-M US UB I,05:16.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,GAUCHE R P a u l i n e,1997,25-29,OP T IM A XT RA ININGNA T A T ION78,05:13.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,13,HO NE R Re b e c c a,2000,25-29,S GS CHONE B E RGB E RLIN,05:12.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,14,JENSEN Ni col e,1996,25-29,HOV E DS T A DE NS S V OM M E K LUB,05:12.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,15,MA R T I N  ME L I A N  R a q u e l,1999,25-29,C.N.V ULCA NIA M A S T E R,05:08.0,Women,400m,Freestyle,,,,
